ID_sampling_plot	ID_study_plot	Forest_type	Sampling_year	Siteur	Physib	Phycol	Phytro	Erirub	Spispi	Drymar	Coccoc	Turvis	Turphi	Colpal	Pyrpyr	Turmer	Regreg	Regign	Corcor	Loxcur	Sylatr	Fricoe	Prumod	Phopho	Gargla	Denmaj	Trotro	Parmaj	Cyacae	Perate	Cerfam	Stuvul	Ficpar	Anttri	Sylbor	Embcit	Poepal	Lopcri	Cerbra	Coloen	Ficalb	Musstr	Nuccar	Denleu	Total_num_of_species	Specialist_species	Generalist_species	Elevation	Broadl_cover	Conifer_cover	Young_cover	AgeWMean	Age_SD	H_Trees	ClearCutDist	NumLT70DBH	NumBroadlLT70DBH	NumBroadlLT70DBH_ha	DensityNumBroadlLT70DBH_ha
10C	ID10	Production_forest	2020	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	0	1	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	8	720	0.1	99.8	0.0	75.6	11.9	0.2	107.5	1	1	B 0<>1	0.3
10D	ID10	Production_forest	2020	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	3	686	4.7	93.5	0.0	56.7	20.0	0.2	81.0	4	1	B 0<>1	0.3
10M	ID10	Production_forest	2020	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	5	725	0.0	99.9	0.0	67.2	4.2	0.4	199.8	0	0	A=0	0.0
10M2	ID10	Production_forest	2020	0	0	0	0	2	0	0	0	0	0	0	0	1	1	1	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	6	690	0.0	99.9	0.0	52.1	15.2	0.0	141.0	0	0	A=0	0.0
10S1	ID10	Production_forest	2020	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	4	723	0.0	90.6	9.2	70.6	30.2	0.3	130.7	1	0	A=0	0.0
10S2	ID10	Production_forest	2020	0	0	0	0	2	0	0	0	0	2	0	1	1	1	1	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11	5	8	675	2.8	91.7	0.0	66.5	40.3	0.3	74.6	2	0	A=0	0.0
10S3	ID10	Production_forest	2020	0	0	0	0	0	0	0	0	0	1	1	2	1	2	1	0	1	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	8	6	655	5.2	79.7	0.0	75.0	32.6	0.2	28.0	1	0	A=0	0.0
10S4	ID10	Production_forest	2020	1	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	2	1	2	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	6	9	759	35.9	49.7	11.1	118.4	36.4	0.5	56.6	48	3	B 0<>1	1.0
10Z	ID10	Production_forest	2020	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	6	692	33.8	66.1	0.0	62.0	0.0	0.8	256.1	0	0	A=0	0.0
11A	ID11	Production_forest	2020	0	0	0	0	2	0	0	0	1	1	0	0	1	1	1	0	0	1	2	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	5	9	598	15.0	84.9	0.0	85.0	3.5	0.7	112.5	28	26	D3<>9	8.3
