KOD_BODU	Subtyp_final	Total_Rich	Specialist_Rich	Generalist_Rich	Canopy_Rich	Cavity_Rich	Ground_Shrub_Rich	Threatened_Rich	Total_Abun	Specialist_Abun	Generalist_Abun	Canopy_Abun	Cavity_Abun	Ground_Shrub_Abun	Threatened_Abun	Rarity_index	Elev	StandDeadtree3	LayingDeadtree3	Tezba_vyklizeni3	Tezba_ponechani3	Windfall3	DamageTotal3	DisturbTotal3	BiologLegac3	StandDeadtree1	LayingDeadtree1	Tezba_vyklizeni1	Tezba_ponechani1	Windfall1	DamageTotal1	DisturbTotal1	BiologLegac1	conif_ha1	deadw_ha1	decid_ha1	Total_LT_ha1	conifHAv1	deadwHAv1	decidHAv1	snagHAv1	conifHSD1	deadwHSD1	decidHSD1	snagHSD1	conifCBAv1	deadwCBAv1	decidCBAv1	snagCBAv1	conifCBSD1	deadwCBSD1	decidCBSD1	snagCBSD1	conifVol1	deadwVol1	decidVol1	snagVol1	conifVolAv1	deadwVolAv1	decidVolAv1	snagVolAv1	conifVolHA1	deadwVolHA1	decidVolHA1	snagVolHA1	conif_ha3	deadw_ha3	decid_ha3	Total_LT_ha3	conifHAv3	deadwHAv3	decidHAv3	snagHAv3	conifHSD3	deadwHSD3	decidHSD3	snagHSD3	conifCBAv3	deadwCBAv3	decidCBAv3	snagCBAv3	conifCBSD3	deadwCBSD3	decidCBSD3	snagCBSD3	conifVol3	deadwVol3	decidVol3	snagVol3	conifVolAv3	deadwVolAv3	decidVolAv3	snagVolAv3	conifVolHA3	deadwVolHA3	decidVolHA3	snagVolHA3	LT_VolHA1	NumLT25	NumLT30	Elev_cat2	Underg_%	Underg_Decid	Underg_H	Struct_Can	Uproot_N	DeadTr_Decay	Cover_deadw	Can_cover	Can_damage
1	VD	3	0	3	0	0	3	0	4	0	4	0	0	4	0	0.03343949	1244.530029	1.863684371	1.112441069	47.65008469	1.835658755	42.17289161	94.63476049	45.14901705	46.9846758	0	0	2.378827745	0	97.62117226	100	97.62117226	97.62117226	9.561771274	45.89650211	49.40248491	58.96425619	5.752514995	5.670208113	4.986826728	7.153664813	3.37142799	3.934905883	4.34499112	3.35359046	1.965466309	1.766535441	1.674117156	1.729705028	0.670950665	0.773343356	0.79732874	0.837955045	470.6692238	2837.608329	4007.41104	1109.866557	15.68897413	19.70561339	25.85426477	14.22905842	150.0143821	904.4187268	1277.264925	353.7430053	100.028887	21.37157685	37.08180884	137.1106959	6.084673607	6.39254664	10.9689196	7.196866278	3.322421113	5.08115372	7.672707304	3.970115783	1.735918	1.774884154	1.622371528	1.784843843	0.572267575	0.780833211	1.301955886	0.822118833	152478.0718	12842.87294	89242.69067	6032.671743	53.93635365	21.26303467	85.15523919	14.29543067	5395.193425	454.4245796	3.013082348	0.505821019	1427.279307	0	0	E1165_1365	35	5	150	1	3	6	85	0	7
2	VD	3	0	3	0	0	3	0	3	0	3	0	0	3	0	0.03343949	1252.593018	0.01376301	0.143045568	34.84976069	0	59.84553677	94.85210604	60.00234535	60.00234535	0	0	5.708053409	0	94.29194659	100	94.29194659	94.29194659	21.67334822	37.29090797	35.059828	56.73317622	4.542554872	5.131047819	4.654671421	6.862686193	2.575111413	3.237307996	3.765470549	3.079690276	1.939910889	1.947660006	1.684187456	1.862727618	0.501529601	0.669550047	0.714383639	0.829050522	1327.463126	2026.251639	2659.709204	1312.9679	19.52151656	17.31839007	24.17917459	13.26230202	423.0966262	645.8184904	847.7177022	418.4766251	83.57560351	26.71447106	20.80544236	104.3810459	6.618677561	5.128167144	7.759305207	7.008764495	3.252995587	3.577973916	6.227593779	3.531915126	1.668748408	1.94793208	1.565842401	1.86759481	0.657906287	0.65546753	0.926611432	0.824757655	135193.0605	14680.85017	24237.48947	8397.432367	57.23668944	19.44483467	41.22022019	14.06605087	4783.590863	519.458473	1.458511761	0.49770478	1270.814328	0	0	E1165_1365	80	10	200	1	3	7	60	0	7
3	VD	4	0	4	0	0	4	0	4	0	4	0	0	4	0	0.039808917	1245.495972	0	2.005088392	35.94552767	0.902944315	56.44071704	95.29427742	58.44580544	59.34874975	0	0	16.56185071	0	83.43814929	100	83.43814929	83.43814929	45.25905069	29.96021666	36.65345655	81.91250724	4.797504173	5.169644468	4.905365425	7.193198027	2.367630239	3.431738388	3.786723485	2.876338795	1.968372614	1.783088846	1.70456543	1.833029228	0.518449855	0.720380828	0.687566081	0.763252081	2869.597716	1831.955347	2963.54236	1896.476901	20.20843462	19.48888667	25.76993357	16.63576229	914.6145668	583.8912671	944.5571403	604.4559451	106.2563664	21.83156112	22.29154539	128.5479117	5.917089526	5.15153416	6.588470688	6.927548707	3.175523974	3.657430276	5.563432133	3.30358472	1.761468715	1.887681463	1.604219564	1.836086397	0.611984464	0.665718661	0.806266611	0.791998792	147620.0169	11985.92591	22229.18839	10504.11367	49.15751479	19.426136	35.28442602	15.49279303	5223.298901	424.1028755	1.248483149	0.548187776	1859.171707	0	0	E1165_1365	70	5	180	1	4	7	70	0	7
7	ZPZ	10	4	6	3	4	3	0	10	4	6	3	4	3	0	0.291401274	957.557007	0.134818753	0	2.099327497	0.251043812	0	2.485190062	0.134818753	0.385862565	0.062264497	0	4.668154902	0	0	4.730419399	0.062264497	0.062264497	284.3033325	0	118.8846895	403.188022	26.22270561	0	24.65818138	21.14318885	3.735878909	0	2.850627138	7.244523723	7.773083674	0	9.435813597	9.568211147	3.694835606	0	3.222268653	4.235121294	202028.9026	0	103574.6905	690.5984973	226.4898011	0	277.6801354	98.65692818	64391.80523	0	33011.91667	220.1114958	324.2889103	0.707668108	81.06338173	405.352292	23.53975958	12.25006504	22.82938995	18.95768772	7.538577219	10.41631399	5.747107788	8.165505907	6.185901471	1.885137987	8.130621655	7.047610721	4.931831765	1.646013139	4.429179188	4.938050861	1957733.582	2731.584226	608698.9572	2035.96392	213.6097744	136.5792113	265.6913824	55.02605189	69271.28097	96.652752	9.401065891	1.947009101	97403.7219	792	120	B865_965	20	100	500	1	1	1	3	90	1
8	ZPZ	7	3	4	2	2	3	0	8	3	5	3	2	3	0	0.292993631	925.474976	0.12801365	0	0.915985637	0	0	1.043999287	0.12801365	0.12801365	0	0	0	0	0	0	0	0	360.1600513	0.318725709	47.80885637	407.9689077	28.19358093	31.34991715	25.04767302	20.58087418	3.422126943	0	3.162674216	4.917663574	9.504219798	13	9.383734538	10.60842896	3.40832663	0	3.728700577	2.891571045	261730.8095	257.8897367	35901.96007	91.774944	231.6201854	257.8897367	239.3464005	45.887472	83420.33786	82.19608922	11442.87768	29.25103411	297.7867397	1.167652378	52.86280764	350.6495473	25.11644772	19.79148943	21.96273173	16.38891798	6.966812705	9.885769682	6.439181754	9.823724718	6.59043753	4.609613592	6.761234595	6.575184215	4.751404316	4.00676613	4.703603052	5.535027422	1921205.318	5677.846219	388934.7172	1321.040957	228.2800996	172.055946	260.331136	40.03154415	67978.78659	200.9015344	9.21140212	1.416452355	94863.21554	1081	331	B865_965	25	100	500	1	1	1	3	90	1
9	ZPZ	9	4	5	4	2	3	0	11	4	7	5	2	4	0	0.410828025	921.041016	0.442277008	0	4.679256493	0.026128575	0	5.147662075	0.442277008	0.468405583	0.709771931	0	0	0	0	0.709771931	0.709771931	0.709771931	365.5783884	2.868531382	8.286868437	373.8652568	28.81782487	21.68531856	23.83501893	24.64829311	4.459356306	6.879350326	5.41933274	5.557007355	8.328447789	3.777777778	8.438361535	10.33838654	4.019386135	3.880944266	5.116776123	4.489029472	267037.7162	1005.132041	2624.775876	508.572062	232.8140508	111.6813379	100.9529183	63.57150775	85111.78546	320.3614224	836.5835524	162.0949911	346.3681553	2.476838377	6.935147455	353.3033027	24.40879635	23.87097791	22.90987688	12.51655077	7.90660362	6.806606898	6.462003797	10.00935576	5.490656783	4.797147914	7.201999586	5.155733878	4.667089598	4.385109384	5.161512618	4.327671525	2293598.98	10031.32965	37936.63501	1489.456486	234.3037062	143.3047093	193.5542602	26.13081554	81155.34251	354.9426036	6.848608853	0.924597239	85948.36901	1028	503	B865_965	0	0	0	1	1	1	3	85	1
11	MD	14	6	8	5	2	7	1	19	9	10	5	3	11	3	1.332802548	926.596008	4.414449761	3.708316846	14.13081433	9.879675879	3.233701575	35.36695839	11.35646818	21.23614406	13.79351786	9.693055203	0.025554944	10.93835058	9.12575905	43.57623764	32.61233211	43.5506827	249.8809559	30.59766808	26.77295957	276.6539155	19.24816904	21.67199333	19.97160382	8.506524404	11.51031544	9.991221688	9.546689524	6.320135809	4.767182097	3.36892128	3.335566203	2.022248268	5.168082375	4.047021539	4.156278014	1.964147553	135853.9014	9503.587456	9435.526753	1150.951855	173.2830375	98.99570266	112.3276994	17.98362273	43300.13106	3029.037651	3007.344955	366.8379461	282.9610928	15.28563112	13.62261107	296.5837039	15.96636764	20.00173843	16.78672529	7.770216471	9.411803256	10.33668483	10.05844876	5.184020343	2.206741736	3.804278621	2.709196492	1.918237176	3.163169494	4.564485157	3.311850084	1.196784787	1379235.672	49935.73656	44453.89227	4309.943282	172.469135	115.5919828	115.4646552	15.17585663	48802.05491	1766.89641	4.085532704	0.536973487	46307.47601	402	232	B865_965	60	0	200	8	2	4	35	40	4
12	MD	10	2	8	3	2	5	0	10	2	8	3	2	5	0	0.146496815	918.044006	2.374876623	0.948575219	12.22323067	3.508822805	2.438881846	21.49438716	5.762333688	9.271156493	3.828915978	3.60889191	17.40280589	0.519872407	12.26295156	37.62343775	19.70075945	20.22063186	311.0762921	17.84863971	16.25501116	327.3313033	14.26541657	11.39995522	10.77721494	6.532338861	6.698715681	8.689518578	7.642370117	3.7449621	1.406951467	1.523154122	1.64563467	1.962447628	1.538735156	0.86032503	1.35271478	0.684052705	145848.5674	4879.988598	4662.516178	619.300519	149.4350075	87.14265354	91.42188585	19.9774361	46485.68805	1555.377826	1486.063775	197.3869971	312.8600704	8.845851345	7.076681076	319.9367515	17.12060953	18.06485413	16.80668369	6.990526726	7.31590337	9.488144911	8.754097326	4.315799207	1.716426785	2.667831787	2.139192505	1.962565519	2.436074434	3.249036435	2.414578896	0.978268143	1660726.267	32344.34128	33973.42354	1570.63829	187.8224686	129.3773651	169.8671177	16.02692132	58762.15073	1144.452939	6.010477087	0.567087054	47971.75183	68	10	B865_965	50	2	500	7	2	6	25	10	4
13	ZPZ	10	5	5	4	2	4	0	10	5	5	4	2	4	0	0.5	905.781982	0.752036662	0.006911915	16.0507451	1.372503249	0	18.18219692	0.758948577	2.131451826	1.691697265	0	8.152651646	0	0	9.844348911	1.691697265	1.691697265	278.5662698	1.274902836	1.593628546	280.1598983	24.39720022	19.31309566	26.16140498	5.498524822	8.4148188	4.592409784	5.058693387	2.133270139	3.731667735	0.505844116	6.3	2.156964983	3.982031201	0.010122306	7.540557009	0.552665698	239541.7444	344.6322462	352.9005627	147.1169043	274.0752225	86.15806156	70.58011255	10.5083503	76348.11236	109.8431571	112.4784821	46.88993963	293.3284306	4.316775456	6.192095942	299.5205266	22.59775356	21.40094876	21.71300005	8.53002567	7.903681087	4.962477624	6.926937707	6.946036158	3.778854101	2.380682273	4.049991281	2.753855276	3.834957086	2.87188198	4.426890643	2.335031227	1841136.074	14353.84108	32777.65982	1427.304696	222.0912032	117.6544351	187.3009133	15.68466699	65145.66408	507.8877777	6.627344143	0.55497693	76460.59084	554	241	B865_965	10	0	150	4	1	1	1	65	1
14	MD	12	4	8	2	3	7	0	14	5	9	2	4	8	0	0.305732484	900.617981	1.785583297	0.796592886	8.00754416	0.302233565	0.7883171	11.68027101	3.370493283	3.672726848	4.760337242	7.175827221	17.16447135	0	5.318654619	34.41929043	17.25481908	17.25481908	251.1558588	12.11157695	9.561771274	260.7176301	22.78058731	17.75243153	18.36357475	6.495701401	8.746927114	9.725458267	6.945033487	3.819993023	3.988872547	3.003464548	2.608742269	2.063531876	3.898976043	3.920977753	4.107614455	0.726828487	183959.8586	5177.869001	2072.215525	412.5412655	233.4515972	136.2597106	69.07385085	12.89191455	58632.73638	1650.319969	660.4683628	131.4875074	322.342823	11.60575696	10.89808886	333.2409119	21.24126282	15.43486545	17.17808437	8.150857657	8.344943647	8.664600612	8.147003951	5.838593388	3.433169298	2.263755798	3.087894588	2.487520345	3.616518566	2.715126462	3.745255487	2.043466382	1866086.756	27606.56273	28812.87372	1976.546972	204.8393804	84.16634977	93.54829129	14.64108868	66028.50415	976.8142001	3.310057113	0.518051576	59293.20474	436	161	B865_965	75	3	300	4	3	6	40	30	3
