"Code";"Biotope_type";"Windfalls";"BioLegacy";"Understory";"Complexity";"LiveTrees";"Total_Rich";"Total_Abun";"Specialist_Rich";"Generalist_Rich";"Canopy_Rich";"Ground_Shrub_Rich";"Generalist_Abun";"Specialist_Abun";"Canopy_Abun";"Cavity_Abun";"Ground_Shrub_Abun";"Elev";"Cavity_Rich";"Rarity_index";"RedList_Rich";"RedList_Abun"
"1";"LSD";97.62117226;97.62117226;35;1;58.96425619;3;4;0;3;0;3;4;0;0;0;4;1244.530029;0;0.03343949;0;0
"2";"LSD";94.29194659;94.29194659;80;1;56.73317622;3;3;0;3;0;3;3;0;0;0;3;1252.593018;0;0.03343949;0;0
"3";"LSD";83.43814929;83.43814929;70;1;81.91250724;4;4;0;4;0;4;4;0;0;0;4;1245.495972;0;0.039808917;0;0
"7";"NDF";0;0.062264497;20;1;403.188022;10;10;4;6;3;3;6;4;3;4;3;957.557007;4;0.291401274;0;0
"8";"NDF";0;0;25;1;407.9689077;7;8;3;4;2;3;5;3;3;2;3;925.474976;2;0.292993631;0;0
"9";"NDF";0;0.709771931;0;1;373.8652568;9;11;4;5;4;3;7;4;5;2;4;921.041016;2;0.410828025;0;0
"11";"SSD";9.12575905;43.5506827;60;8;276.6539155;14;19;6;8;5;7;10;9;5;3;11;926.596008;2;1.332802548;1;3
"12";"SSD";12.26295156;20.22063186;50;7;327.3313033;10;10;2;8;3;5;8;2;3;2;5;918.044006;2;0.146496815;0;0
"13";"NDF";0;1.691697265;10;4;280.1598983;10;10;5;5;4;4;5;5;4;2;4;905.781982;2;0.5;0;0
"14";"SSD";5.318654619;17.25481908;75;4;260.7176301;12;14;4;8;2;7;9;5;2;4;8;900.617981;3;0.305732484;0;0
"15";"NDF";0;1.307188597;0;1;357.9289713;13;15;5;8;5;5;8;7;7;3;5;918.976013;3;0.636942675;0;0
"16";"SSD";1.592931675;51.77768294;35;6;258.1678244;12;12;4;8;5;4;8;4;5;3;4;897.083008;3;0.386942675;0;0
"17";"SSD";1.760742713;56.76773323;70;8;200.1597453;12;13;4;8;3;6;9;4;3;3;7;874.403992;3;0.407643312;0;0
"18";"SSD";16.20345216;81.76004716;70;9;94.02408419;15;18;3;12;4;6;15;3;4;5;9;859.075989;5;0.211783439;0;0
"19";"SSD";9.03261763;93.5440823;85;5;89.56192426;14;15;3;11;3;6;12;3;3;4;7;876.328003;4;0.329617834;0;0
"20";"NDF";0;3.677736363;0;1;293.8651038;7;7;4;3;3;2;3;4;3;2;2;874.734985;2;0.187898089;0;0
